IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
92.223.124.9,4,4,0.00,4.84,0.00
93.123.17.143,4,4,0.00,4.86,0.00
93.123.17.145,4,4,0.00,4.95,0.00
93.123.17.153,4,4,0.00,4.96,0.00
92.223.124.61,4,4,0.00,4.99,0.00
92.223.124.23,4,4,0.00,5.01,0.00
93.123.17.253,4,4,0.00,5.04,0.00
93.123.17.166,4,4,0.00,5.04,0.00
92.223.124.25,4,4,0.00,5.07,0.00
92.223.124.30,4,4,0.00,5.09,0.00
92.223.124.35,4,4,0.00,5.10,0.00
92.223.124.8,4,4,0.00,5.11,0.00
93.123.17.133,4,4,0.00,5.15,0.00
92.223.124.29,4,4,0.00,5.20,0.00
93.123.17.146,4,4,0.00,5.23,0.00
93.123.17.132,4,4,0.00,5.24,0.00
92.223.124.33,4,4,0.00,5.25,0.00
93.123.17.137,4,4,0.00,5.25,0.00
93.123.17.172,4,4,0.00,5.29,0.00
93.123.17.139,4,4,0.00,5.30,0.00
92.223.124.34,4,4,0.00,5.35,0.00
93.123.17.254,4,4,0.00,5.36,0.00
92.223.124.49,4,4,0.00,5.39,0.00
92.223.124.42,4,4,0.00,5.41,0.00
92.223.124.12,4,4,0.00,5.42,0.00
93.123.17.134,4,4,0.00,5.45,0.00
92.223.124.26,4,4,0.00,5.45,0.00
92.223.124.49,4,4,0.00,5.48,0.00
92.223.124.44,4,4,0.00,5.50,0.00
92.223.124.31,4,4,0.00,5.52,0.00
92.223.124.38,4,4,0.00,5.65,0.00
92.223.124.35,4,4,0.00,5.65,0.00
92.223.124.40,4,4,0.00,5.71,0.00
93.123.17.159,4,4,0.00,5.72,0.00
92.223.124.43,4,4,0.00,5.73,0.00
93.123.17.168,4,4,0.00,5.76,0.00
92.223.124.24,4,4,0.00,5.78,0.00
92.223.124.16,4,4,0.00,5.79,0.00
92.223.124.13,4,4,0.00,5.81,0.00
93.123.17.135,4,4,0.00,5.85,0.00
92.223.124.15,4,4,0.00,5.89,0.00
92.223.124.23,4,4,0.00,5.92,0.00
93.123.17.161,4,4,0.00,5.92,0.00
93.123.17.148,4,4,0.00,5.96,0.00
92.223.124.34,4,4,0.00,6.00,0.00
92.223.124.22,4,4,0.00,6.01,0.00
92.223.124.48,4,4,0.00,6.03,0.00
93.123.17.147,4,4,0.00,6.10,0.00
93.123.17.141,4,4,0.00,6.13,0.00
92.223.124.8,4,4,0.00,6.34,0.00
