IP地址,端口,TLS,数据中心,地区,城市,网络延迟
92.223.95.79,443,true,SIN,Asia Pacific,Singapore,8 ms
92.223.84.84,443,true,SIN,Asia Pacific,Singapore,8 ms
92.223.100.53,443,true,SIN,Asia Pacific,Singapore,8 ms
5.252.26.61,443,true,SIN,Asia Pacific,Singapore,8 ms
5.252.26.8,443,true,SIN,Asia Pacific,Singapore,8 ms
5.252.26.10,443,true,SIN,Asia Pacific,Singapore,9 ms
92.223.100.201,443,true,SIN,Asia Pacific,Singapore,9 ms
5.252.26.5,443,true,SIN,Asia Pacific,Singapore,12 ms
95.85.95.85,443,true,SIN,Asia Pacific,Singapore,12 ms
5.252.26.9,443,true,SIN,Asia Pacific,Singapore,13 ms
92.223.84.79,443,true,SIN,Asia Pacific,Singapore,13 ms
5.252.26.4,443,true,SIN,Asia Pacific,Singapore,14 ms
5.252.26.62,443,true,SIN,Asia Pacific,Singapore,15 ms
5.252.26.7,443,true,SIN,Asia Pacific,Singapore,16 ms
2.56.220.2,443,true,SIN,Asia Pacific,Singapore,16 ms
92.223.77.201,443,true,SIN,Asia Pacific,Singapore,17 ms
92.223.100.101,443,true,SIN,Asia Pacific,Singapore,21 ms
92.223.77.53,443,true,SIN,Asia Pacific,Singapore,22 ms
5.252.26.11,443,true,SIN,Asia Pacific,Singapore,28 ms
92.223.116.254,443,true,SIN,Asia Pacific,Singapore,30 ms
92.223.116.207,443,true,SIN,Asia Pacific,Singapore,31 ms
92.223.116.224,443,true,SIN,Asia Pacific,Singapore,31 ms
92.223.116.203,443,true,SIN,Asia Pacific,Singapore,34 ms
92.223.116.220,443,true,SIN,Asia Pacific,Singapore,35 ms
92.223.116.222,443,true,SIN,Asia Pacific,Singapore,36 ms
92.223.116.205,443,true,SIN,Asia Pacific,Singapore,36 ms
92.223.100.100,443,true,SIN,Asia Pacific,Singapore,36 ms
92.223.116.253,443,true,SIN,Asia Pacific,Singapore,40 ms
92.223.116.221,443,true,SIN,Asia Pacific,Singapore,41 ms
89.43.110.254,443,true,SIN,Asia Pacific,Singapore,51 ms
92.223.76.24,443,true,HKG,Asia Pacific,Hong Kong,52 ms
92.223.77.101,443,true,SIN,Asia Pacific,Singapore,63 ms
92.223.76.20,443,true,HKG,Asia Pacific,Hong Kong,67 ms
92.223.76.254,443,true,HKG,Asia Pacific,Hong Kong,71 ms
92.223.61.25,443,true,ICN,Asia Pacific,Seoul,86 ms
92.223.61.30,443,true,ICN,Asia Pacific,Seoul,87 ms
92.223.61.21,443,true,ICN,Asia Pacific,Seoul,88 ms
92.223.84.33,443,true,SIN,Asia Pacific,Singapore,89 ms
31.184.207.8,443,true,KIX,Asia Pacific,Osaka,90 ms
92.223.61.24,443,true,ICN,Asia Pacific,Seoul,95 ms
92.223.63.28,443,true,NRT,Asia Pacific,Tokyo,96 ms
31.184.207.5,443,true,KIX,Asia Pacific,Osaka,97 ms
92.223.63.9,443,true,NRT,Asia Pacific,Tokyo,101 ms
92.223.63.11,443,true,NRT,Asia Pacific,Tokyo,101 ms
31.184.207.62,443,true,KIX,Asia Pacific,Osaka,102 ms
92.223.63.24,443,true,NRT,Asia Pacific,Tokyo,103 ms
31.184.207.7,443,true,KIX,Asia Pacific,Osaka,103 ms
92.223.63.21,443,true,NRT,Asia Pacific,Tokyo,103 ms
92.223.63.22,443,true,NRT,Asia Pacific,Tokyo,104 ms
185.163.3.61,443,true,RUH,Middle East,Riyadh,105 ms
31.184.207.6,443,true,KIX,Asia Pacific,Osaka,107 ms
92.223.63.10,443,true,NRT,Asia Pacific,Tokyo,107 ms
92.223.76.23,443,true,HKG,Asia Pacific,Hong Kong,108 ms
92.223.63.26,443,true,NRT,Asia Pacific,Tokyo,108 ms
31.184.207.4,443,true,KIX,Asia Pacific,Osaka,110 ms
92.223.63.23,443,true,NRT,Asia Pacific,Tokyo,110 ms
185.163.3.4,443,true,RUH,Middle East,Riyadh,114 ms
185.163.3.62,443,true,HKG,Asia Pacific,Hong Kong,116 ms
5.252.26.6,443,true,SIN,Asia Pacific,Singapore,121 ms
92.223.63.8,443,true,NRT,Asia Pacific,Tokyo,122 ms
146.185.221.190,443,true,MEL,Oceania,Melbourne,122 ms
92.223.63.7,443,true,NRT,Asia Pacific,Tokyo,124 ms
92.223.84.254,443,true,SIN,Asia Pacific,Singapore,125 ms
92.223.78.30,443,true,SYD,Oceania,Sydney,127 ms
92.223.63.27,443,true,NRT,Asia Pacific,Tokyo,131 ms
94.176.183.5,443,true,CDG,Europe,Paris,154 ms
94.176.183.61,443,true,CDG,Europe,Paris,155 ms
92.223.63.4,443,true,NRT,Asia Pacific,Tokyo,156 ms
93.123.17.159,443,true,AMS,Europe,Amsterdam,162 ms
92.223.63.254,443,true,NRT,Asia Pacific,Tokyo,163 ms
92.223.124.29,443,true,DME,Europe,Moscow,163 ms
