IP地址,端口,TLS,数据中心,地区,城市,网络延迟,IP国家,IP城市,国家代码,AS
5.189.207.5,443,True,ALA,Asia Pacific,Almaty,263 ms,Kazakhstan,Almaty,KZ,AS199524 G-Core Labs S.A.
5.189.207.4,443,True,ALA,Asia Pacific,Almaty,265 ms,Kazakhstan,Almaty,KZ,AS199524 G-Core Labs S.A.
5.189.207.14,443,True,ALA,Asia Pacific,Almaty,279 ms,Kazakhstan,Almaty,KZ,AS199524 G-Core Labs S.A.
217.76.64.195,443,True,ALA,Asia Pacific,Almaty,213 ms,Kazakhstan,Almaty,KZ,AS29555 Mobile Telecom-Service LLP
93.123.17.134,443,True,AMS,Europe,Amsterdam,188 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.148,443,True,AMS,Europe,Amsterdam,184 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.132,443,True,AMS,Europe,Amsterdam,188 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.141,443,True,AMS,Europe,Amsterdam,184 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.139,443,True,AMS,Europe,Amsterdam,197 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.254,443,True,AMS,Europe,Amsterdam,160 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.135,443,True,AMS,Europe,Amsterdam,176 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.159,443,True,AMS,Europe,Amsterdam,160 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.253,443,True,AMS,Europe,Amsterdam,160 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.133,443,True,AMS,Europe,Amsterdam,185 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.150,443,True,AMS,Europe,Amsterdam,173 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.144,443,True,AMS,Europe,Amsterdam,187 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.143,443,True,AMS,Europe,Amsterdam,172 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.145,443,True,AMS,Europe,Amsterdam,186 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.147,443,True,AMS,Europe,Amsterdam,186 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.151,443,True,AMS,Europe,Amsterdam,173 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.140,443,True,AMS,Europe,Amsterdam,160 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.137,443,True,AMS,Europe,Amsterdam,184 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.146,443,True,AMS,Europe,Amsterdam,174 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.136,443,True,AMS,Europe,Amsterdam,174 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
80.240.113.6,443,True,ARN,Europe,Stockholm,193 ms,Sweden,Stockholm,SE,AS199524 G-Core Labs S.A.
80.240.113.62,443,True,ARN,Europe,Stockholm,191 ms,Sweden,Stockholm,SE,AS199524 G-Core Labs S.A.
80.240.113.5,443,True,ARN,Europe,Stockholm,193 ms,Sweden,Stockholm,SE,AS199524 G-Core Labs S.A.
80.240.113.10,443,True,ARN,Europe,Stockholm,192 ms,Sweden,Stockholm,SE,AS199524 G-Core Labs S.A.
80.240.113.8,443,True,ARN,Europe,Stockholm,193 ms,Sweden,Stockholm,SE,AS199524 G-Core Labs S.A.
80.240.113.13,443,True,ARN,Europe,Stockholm,190 ms,Sweden,Stockholm,SE,AS199524 G-Core Labs S.A.
80.240.113.7,443,True,ARN,Europe,Stockholm,214 ms,Sweden,Stockholm,SE,AS199524 G-Core Labs S.A.
80.240.113.14,443,True,ARN,Europe,Stockholm,179 ms,Sweden,Stockholm,SE,AS199524 G-Core Labs S.A.
80.240.113.11,443,True,ARN,Europe,Stockholm,207 ms,Sweden,Stockholm,SE,AS199524 G-Core Labs S.A.
80.240.113.12,443,True,ARN,Europe,Stockholm,205 ms,Sweden,Stockholm,SE,AS199524 G-Core Labs S.A.
80.240.113.61,443,True,ARN,Europe,Stockholm,205 ms,Sweden,Stockholm,SE,AS199524 G-Core Labs S.A.
80.240.113.4,443,True,ARN,Europe,Stockholm,180 ms,Sweden,Stockholm,SE,AS199524 G-Core Labs S.A.
80.240.113.9,443,True,ARN,Europe,Stockholm,182 ms,Sweden,Stockholm,SE,AS199524 G-Core Labs S.A.
80.93.210.4,443,True,ATH,Europe,Athens,217 ms,Greece,Athens,GR,AS199524 G-Core Labs S.A.
92.38.159.4,443,True,ATL,North America,Atlanta,251 ms,United States,Atlanta,US,AS199524 G-Core Labs S.A.
92.38.159.14,443,True,ATL,North America,Atlanta,261 ms,United States,Atlanta,US,AS199524 G-Core Labs S.A.
92.38.159.5,443,True,ATL,North America,Atlanta,270 ms,United States,Atlanta,US,AS199524 G-Core Labs S.A.
5.1.106.249,443,True,BGW,Middle East,Baghdad,270 ms,Iraq,Baghdad,IQ,"AS198735 Hilal Al-Rafidain for Computer and Internet Services Co., Ltd."
109.230.114.2,443,True,BGW,Middle East,Baghdad,233 ms,Iraq,Baghdad,IQ,AS57324 Al Lawn Al Akhdar International Company for Communications and Information Technology Ltd.
87.120.106.61,443,True,BOG,South America,Bogotá,322 ms,Colombia,Bogotá,CO,AS199524 G-Core Labs S.A.
87.120.106.11,443,True,BOG,South America,Bogotá,329 ms,Colombia,Bogotá,CO,AS199524 G-Core Labs S.A.
80.93.215.4,443,True,BOG,South America,Bogotá,327 ms,Colombia,Bogotá,CO,AS199524 G-Core Labs S.A.
87.120.106.5,443,True,BOG,South America,Bogotá,327 ms,Colombia,Bogotá,CO,AS199524 G-Core Labs S.A.
185.105.1.14,443,True,BOM,Asia Pacific,Mumbai,185 ms,India,Mumbai,IN,AS199524 G-Core Labs S.A.
185.105.1.10,443,True,BOM,Asia Pacific,Mumbai,186 ms,India,Mumbai,IN,AS199524 G-Core Labs S.A.
80.93.223.4,443,True,BOS,North America,Boston,271 ms,United States,Boston,US,AS199524 G-Core Labs S.A.
80.93.223.62,443,True,BOS,North America,Boston,280 ms,United States,Boston,US,AS199524 G-Core Labs S.A.
80.93.223.61,443,True,BOS,North America,Boston,271 ms,United States,Boston,US,AS199524 G-Core Labs S.A.
5.101.217.4,443,True,BUD,Europe,Budapest,200 ms,Hungary,Budapest,HU,AS199524 G-Core Labs S.A.
94.176.183.7,443,True,CDG,Europe,Paris,164 ms,France,Paris,FR,AS199524 G-Core Labs S.A.
94.176.183.11,443,True,CDG,Europe,Paris,175 ms,France,Paris,FR,AS199524 G-Core Labs S.A.
94.176.183.8,443,True,CDG,Europe,Paris,177 ms,France,Paris,FR,AS199524 G-Core Labs S.A.
94.176.183.61,443,True,CDG,Europe,Paris,151 ms,France,Paris,FR,AS199524 G-Core Labs S.A.
94.176.183.5,443,True,CDG,Europe,Paris,150 ms,France,Paris,FR,AS199524 G-Core Labs S.A.
94.176.183.12,443,True,CDG,Europe,Paris,162 ms,France,Paris,FR,AS199524 G-Core Labs S.A.
94.176.183.6,443,True,CDG,Europe,Paris,150 ms,France,Paris,FR,AS199524 G-Core Labs S.A.
