IP地址,端口,TLS,数据中心,地区,城市,网络延迟
92.223.116.222,443,true,SIN,Asia Pacific,Singapore,1 ms
92.223.116.205,443,true,SIN,Asia Pacific,Singapore,1 ms
92.223.116.224,443,true,SIN,Asia Pacific,Singapore,1 ms
92.223.116.220,443,true,SIN,Asia Pacific,Singapore,1 ms
92.223.116.253,443,true,SIN,Asia Pacific,Singapore,1 ms
92.223.116.203,443,true,SIN,Asia Pacific,Singapore,1 ms
92.223.116.207,443,true,SIN,Asia Pacific,Singapore,1 ms
92.223.116.221,443,true,SIN,Asia Pacific,Singapore,1 ms
92.223.116.223,443,true,SIN,Asia Pacific,Singapore,1 ms
92.223.116.254,443,true,SIN,Asia Pacific,Singapore,1 ms
171.229.196.138,443,true,SIN,Asia Pacific,Singapore,20 ms
171.229.196.136,443,true,SIN,Asia Pacific,Singapore,20 ms
171.229.196.135,443,true,SIN,Asia Pacific,Singapore,21 ms
171.229.196.134,443,true,SIN,Asia Pacific,Singapore,21 ms
171.229.196.133,443,true,SIN,Asia Pacific,Singapore,22 ms
171.229.196.132,443,true,SIN,Asia Pacific,Singapore,22 ms
171.229.196.137,443,true,SIN,Asia Pacific,Singapore,24 ms
5.252.26.62,443,true,SIN,Asia Pacific,Singapore,26 ms
5.252.26.61,443,true,SIN,Asia Pacific,Singapore,26 ms
5.252.26.9,443,true,SIN,Asia Pacific,Singapore,26 ms
5.252.26.6,443,true,SIN,Asia Pacific,Singapore,26 ms
5.252.26.11,443,true,SIN,Asia Pacific,Singapore,26 ms
5.252.26.7,443,true,SIN,Asia Pacific,Singapore,26 ms
5.252.26.8,443,true,SIN,Asia Pacific,Singapore,26 ms
5.252.26.5,443,true,SIN,Asia Pacific,Singapore,26 ms
5.252.26.10,443,true,SIN,Asia Pacific,Singapore,28 ms
5.252.26.4,443,true,SIN,Asia Pacific,Singapore,28 ms
92.223.76.20,443,true,HKG,Asia Pacific,Hong Kong,33 ms
92.223.76.30,443,true,HKG,Asia Pacific,Hong Kong,35 ms
92.223.76.23,443,true,HKG,Asia Pacific,Hong Kong,36 ms
92.223.76.25,443,true,HKG,Asia Pacific,Hong Kong,36 ms
120.28.10.46,443,true,MNL,Asia Pacific,Manila,39 ms
171.234.242.195,443,true,HKG,Asia Pacific,Hong Kong,41 ms
171.234.242.199,443,true,HKG,Asia Pacific,Hong Kong,41 ms
92.223.76.24,443,true,HKG,Asia Pacific,Hong Kong,42 ms
171.234.242.198,443,true,HKG,Asia Pacific,Hong Kong,43 ms
171.234.242.197,443,true,HKG,Asia Pacific,Hong Kong,48 ms
43.245.140.2,443,true,DAC,Asia Pacific,Dhaka,54 ms
92.223.63.28,443,true,NRT,Asia Pacific,Tokyo,68 ms
92.223.63.10,443,true,NRT,Asia Pacific,Tokyo,70 ms
92.223.63.7,443,true,NRT,Asia Pacific,Tokyo,70 ms
92.223.63.21,443,true,NRT,Asia Pacific,Tokyo,70 ms
92.223.63.8,443,true,NRT,Asia Pacific,Tokyo,70 ms
92.223.63.25,443,true,NRT,Asia Pacific,Tokyo,71 ms
31.184.207.5,443,true,KIX,Asia Pacific,Osaka,71 ms
31.184.207.4,443,true,KIX,Asia Pacific,Osaka,72 ms
92.223.63.4,443,true,NRT,Asia Pacific,Tokyo,73 ms
92.223.63.24,443,true,NRT,Asia Pacific,Tokyo,73 ms
92.223.63.29,443,true,NRT,Asia Pacific,Tokyo,74 ms
134.0.219.37,443,true,MCT,Middle East,Muscat,74 ms
92.223.63.6,443,true,NRT,Asia Pacific,Tokyo,76 ms
92.223.63.26,443,true,NRT,Asia Pacific,Tokyo,76 ms
134.0.219.26,443,true,MCT,Middle East,Muscat,76 ms
92.223.63.5,443,true,NRT,Asia Pacific,Tokyo,76 ms
197.225.145.26,443,true,MRU,Africa,Port Louis,77 ms
118.103.136.245,443,true,SIN,Asia Pacific,Singapore,77 ms
31.184.207.7,443,true,KIX,Asia Pacific,Osaka,79 ms
92.223.63.27,443,true,NRT,Asia Pacific,Tokyo,79 ms
31.184.207.6,443,true,KIX,Asia Pacific,Osaka,80 ms
92.223.63.23,443,true,NRT,Asia Pacific,Tokyo,82 ms
31.184.207.8,443,true,KIX,Asia Pacific,Osaka,84 ms
103.211.151.21,443,true,KTM,Asia Pacific,Kathmandu,85 ms
82.148.98.42,443,true,DOH,Middle East,Doha,85 ms
92.223.63.11,443,true,NRT,Asia Pacific,Tokyo,85 ms
92.223.61.25,443,true,ICN,Asia Pacific,Seoul,85 ms
92.223.61.30,443,true,ICN,Asia Pacific,Seoul,86 ms
92.223.61.23,443,true,ICN,Asia Pacific,Seoul,86 ms
92.223.63.9,443,true,NRT,Asia Pacific,Tokyo,86 ms
146.185.221.190,443,true,MEL,Oceania,Melbourne,86 ms
92.223.61.21,443,true,ICN,Asia Pacific,Seoul,86 ms
92.223.61.24,443,true,ICN,Asia Pacific,Seoul,86 ms
146.185.221.132,443,true,MEL,Oceania,Melbourne,87 ms
31.184.207.62,443,true,KIX,Asia Pacific,Osaka,88 ms
185.105.1.14,443,true,BOM,Asia Pacific,Mumbai,89 ms
92.223.63.22,443,true,NRT,Asia Pacific,Tokyo,89 ms
92.223.78.22,443,true,SYD,Oceania,Sydney,92 ms
185.105.1.10,443,true,BOM,Asia Pacific,Mumbai,95 ms
185.163.3.61,443,true,HKG,Asia Pacific,Hong Kong,95 ms
185.163.3.62,443,true,HKG,Asia Pacific,Hong Kong,95 ms
185.163.3.4,443,true,KWI,Middle East,Kuwait City,97 ms
5.188.132.5,443,true,HKG,Asia Pacific,Hong Kong,121 ms
5.188.132.14,443,true,HKG,Asia Pacific,Hong Kong,124 ms
92.223.55.6,443,true,MRS,Europe,Marseille,137 ms
151.248.104.91,443,true,RUH,Middle East,Riyadh,145 ms
94.176.183.61,443,true,CDG,Europe,Paris,146 ms
94.176.183.5,443,true,CDG,Europe,Paris,147 ms
94.176.183.8,443,true,CDG,Europe,Paris,147 ms
94.176.183.11,443,true,CDG,Europe,Paris,149 ms
94.176.183.62,443,true,CDG,Europe,Paris,150 ms
92.223.55.4,443,true,MRS,Europe,Marseille,151 ms
5.188.126.7,443,true,MAD,Europe,Madrid,151 ms
5.188.126.6,443,true,MAD,Europe,Madrid,151 ms
5.188.126.14,443,true,MAD,Europe,Madrid,152 ms
93.123.11.12,443,true,LHR,Europe,London,153 ms
93.123.11.13,443,true,LHR,Europe,London,154 ms
93.123.11.14,443,true,LHR,Europe,London,154 ms
92.223.124.32,443,true,FRA,Europe,Frankfurt,157 ms
92.223.124.28,443,true,FRA,Europe,Frankfurt,157 ms
92.223.124.31,443,true,FRA,Europe,Frankfurt,157 ms
92.223.124.24,443,true,FRA,Europe,Frankfurt,157 ms
94.176.183.6,443,true,CDG,Europe,Paris,158 ms
92.223.124.30,443,true,FRA,Europe,Frankfurt,158 ms
92.223.124.22,443,true,FRA,Europe,Frankfurt,159 ms
92.223.124.29,443,true,FRA,Europe,Frankfurt,159 ms
92.223.55.5,443,true,MRS,Europe,Marseille,161 ms
92.223.124.17,443,true,FRA,Europe,Frankfurt,161 ms
