IP地址,端口,TLS,数据中心,地区,城市,网络延迟,IP国家,IP城市,国家代码,AS
217.76.64.195,443,True,ALA,Asia Pacific,Almaty,222 ms,Kazakhstan,Almaty,KZ,AS29555 Mobile Telecom-Service LLP
5.189.207.14,443,True,ALA,Asia Pacific,Almaty,280 ms,Kazakhstan,Almaty,KZ,AS199524 G-Core Labs S.A.
5.189.207.4,443,True,ALA,Asia Pacific,Almaty,270 ms,Kazakhstan,Almaty,KZ,AS199524 G-Core Labs S.A.
5.189.207.5,443,True,ALA,Asia Pacific,Almaty,267 ms,Kazakhstan,Almaty,KZ,AS199524 G-Core Labs S.A.
93.123.17.132,443,True,AMS,Europe,Amsterdam,187 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.144,443,True,AMS,Europe,Amsterdam,188 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.137,443,True,AMS,Europe,Amsterdam,188 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.147,443,True,AMS,Europe,Amsterdam,188 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.133,443,True,AMS,Europe,Amsterdam,189 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.141,443,True,AMS,Europe,Amsterdam,190 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.151,443,True,AMS,Europe,Amsterdam,178 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.135,443,True,AMS,Europe,Amsterdam,175 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.150,443,True,AMS,Europe,Amsterdam,174 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.136,443,True,AMS,Europe,Amsterdam,174 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.142,443,True,AMS,Europe,Amsterdam,174 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.146,443,True,AMS,Europe,Amsterdam,174 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.254,443,True,AMS,Europe,Amsterdam,167 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.140,443,True,AMS,Europe,Amsterdam,165 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
93.123.17.138,443,True,AMS,Europe,Amsterdam,162 ms,Netherlands,Amsterdam,NL,AS199524 G-Core Labs S.A.
