IP地址,端口,TLS,数据中心,地区,城市,网络延迟
5.252.26.4,443,true,SIN,Asia Pacific,Singapore,29 ms
5.252.26.9,443,true,SIN,Asia Pacific,Singapore,39 ms
92.223.116.221,443,true,SIN,Asia Pacific,Singapore,50 ms
92.223.116.207,443,true,SIN,Asia Pacific,Singapore,50 ms
92.223.116.224,443,true,SIN,Asia Pacific,Singapore,75 ms
92.223.76.20,443,true,HKG,Asia Pacific,Hong Kong,77 ms
92.223.76.24,443,true,HKG,Asia Pacific,Hong Kong,84 ms
92.223.116.222,443,true,SIN,Asia Pacific,Singapore,88 ms
171.234.242.195,443,true,LAX,North America,Los Angeles,95 ms
171.234.242.198,443,true,LAX,North America,Los Angeles,97 ms
92.223.61.21,443,true,ICN,Asia Pacific,Seoul,102 ms
92.223.61.23,443,true,ICN,Asia Pacific,Seoul,107 ms
92.223.61.25,443,true,ICN,Asia Pacific,Seoul,113 ms
43.245.140.2,443,true,DAC,Asia Pacific,Dhaka,115 ms
92.223.63.8,443,true,NRT,Asia Pacific,Tokyo,117 ms
31.184.207.62,443,true,KIX,Asia Pacific,Osaka,139 ms
92.223.63.6,443,true,NRT,Asia Pacific,Tokyo,140 ms
118.103.136.245,443,true,SIN,Asia Pacific,Singapore,141 ms
185.163.3.61,443,true,FRA,Europe,Frankfurt,141 ms
31.184.207.4,443,true,KIX,Asia Pacific,Osaka,141 ms
197.225.145.26,443,true,SIN,Asia Pacific,Singapore,142 ms
31.184.207.8,443,true,KIX,Asia Pacific,Osaka,142 ms
92.223.78.30,443,true,SYD,Oceania,Sydney,143 ms
146.185.221.132,443,true,MEL,Oceania,Melbourne,144 ms
82.148.98.42,443,true,DOH,Middle East,Doha,146 ms
89.223.90.4,443,true,CDG,Europe,Paris,148 ms
31.184.207.7,443,true,KIX,Asia Pacific,Osaka,148 ms
92.223.63.23,443,true,NRT,Asia Pacific,Tokyo,148 ms
103.211.151.21,443,true,KTM,Asia Pacific,Kathmandu,150 ms
180.149.90.66,443,true,ULN,Asia Pacific,Ulaanbaatar,151 ms
92.223.63.11,443,true,NRT,Asia Pacific,Tokyo,151 ms
92.223.63.27,443,true,NRT,Asia Pacific,Tokyo,152 ms
92.223.63.25,443,true,NRT,Asia Pacific,Tokyo,152 ms
92.223.63.24,443,true,NRT,Asia Pacific,Tokyo,153 ms
92.223.124.34,443,true,FRA,Europe,Frankfurt,161 ms
93.123.17.159,443,true,AMS,Europe,Amsterdam,162 ms
93.123.17.253,443,true,AMS,Europe,Amsterdam,162 ms
92.223.124.29,443,true,FRA,Europe,Frankfurt,163 ms
93.123.17.254,443,true,AMS,Europe,Amsterdam,163 ms
93.123.17.138,443,true,AMS,Europe,Amsterdam,164 ms
92.223.124.36,443,true,FRA,Europe,Frankfurt,165 ms
