IP地址,端口,TLS,数据中心,地区,城市,网络延迟,国家,国家代码,AS
5.252.26.6,443,true,SIN,Asia Pacific,Singapore,6 ms,Thailand,TH,AS199524 G-Core Labs S.A.
5.252.26.11,443,true,SIN,Asia Pacific,Singapore,6 ms,Thailand,TH,AS199524 G-Core Labs S.A.
5.252.26.4,443,true,SIN,Asia Pacific,Singapore,6 ms,Thailand,TH,AS199524 G-Core Labs S.A.
5.252.26.7,443,true,SIN,Asia Pacific,Singapore,7 ms,Thailand,TH,AS199524 G-Core Labs S.A.
5.252.26.5,443,true,SIN,Asia Pacific,Singapore,8 ms,Thailand,TH,AS199524 G-Core Labs S.A.
5.252.26.61,443,true,SIN,Asia Pacific,Singapore,9 ms,Thailand,TH,AS199524 G-Core Labs S.A.
5.252.26.10,443,true,SIN,Asia Pacific,Singapore,9 ms,Thailand,TH,AS199524 G-Core Labs S.A.
5.252.26.9,443,true,SIN,Asia Pacific,Singapore,14 ms,Thailand,TH,AS199524 G-Core Labs S.A.
92.223.116.205,443,true,SIN,Asia Pacific,Singapore,26 ms,Singapore,SG,AS199524 G-Core Labs S.A.
92.223.116.207,443,true,SIN,Asia Pacific,Singapore,28 ms,Singapore,SG,AS199524 G-Core Labs S.A.
92.223.116.203,443,true,SIN,Asia Pacific,Singapore,28 ms,Singapore,SG,AS199524 G-Core Labs S.A.
92.223.116.222,443,true,SIN,Asia Pacific,Singapore,29 ms,Singapore,SG,AS199524 G-Core Labs S.A.
92.223.116.224,443,true,SIN,Asia Pacific,Singapore,29 ms,Singapore,SG,AS199524 G-Core Labs S.A.
92.223.116.222,443,true,SIN,Asia Pacific,Singapore,29 ms,Singapore,SG,AS199524 G-Core Labs S.A.
92.223.116.254,443,true,SIN,Asia Pacific,Singapore,29 ms,Singapore,SG,AS199524 G-Core Labs S.A.
92.223.116.253,443,true,SIN,Asia Pacific,Singapore,29 ms,Singapore,SG,AS199524 G-Core Labs S.A.
92.223.116.205,443,true,SIN,Asia Pacific,Singapore,29 ms,Singapore,SG,AS199524 G-Core Labs S.A.
92.223.116.224,443,true,SIN,Asia Pacific,Singapore,29 ms,Singapore,SG,AS199524 G-Core Labs S.A.
92.223.116.207,443,true,SIN,Asia Pacific,Singapore,30 ms,Singapore,SG,AS199524 G-Core Labs S.A.
92.223.116.221,443,true,SIN,Asia Pacific,Singapore,30 ms,Singapore,SG,AS199524 G-Core Labs S.A.
92.223.116.220,443,true,SIN,Asia Pacific,Singapore,30 ms,Singapore,SG,AS199524 G-Core Labs S.A.
92.223.116.220,443,true,SIN,Asia Pacific,Singapore,30 ms,Singapore,SG,AS199524 G-Core Labs S.A.
92.223.116.223,443,true,SIN,Asia Pacific,Singapore,34 ms,Singapore,SG,AS199524 G-Core Labs S.A.
92.223.116.203,443,true,SIN,Asia Pacific,Singapore,34 ms,Singapore,SG,AS199524 G-Core Labs S.A.
92.223.76.25,443,true,HKG,Asia Pacific,Hong Kong,46 ms,Hong Kong,HK,AS199524 G-Core Labs S.A.
92.223.116.223,443,true,SIN,Asia Pacific,Singapore,46 ms,Singapore,SG,AS199524 G-Core Labs S.A.
92.223.76.20,443,true,HKG,Asia Pacific,Hong Kong,48 ms,Hong Kong,HK,AS199524 G-Core Labs S.A.
92.223.76.24,443,true,HKG,Asia Pacific,Hong Kong,49 ms,Hong Kong,HK,AS199524 G-Core Labs S.A.
92.223.76.20,443,true,HKG,Asia Pacific,Hong Kong,49 ms,Hong Kong,HK,AS199524 G-Core Labs S.A.
92.223.76.30,443,true,HKG,Asia Pacific,Hong Kong,51 ms,Hong Kong,HK,AS199524 G-Core Labs S.A.
92.223.76.23,443,true,HKG,Asia Pacific,Hong Kong,52 ms,Hong Kong,HK,AS199524 G-Core Labs S.A.
92.223.76.24,443,true,HKG,Asia Pacific,Hong Kong,53 ms,Hong Kong,HK,AS199524 G-Core Labs S.A.
171.234.242.199,443,true,HKG,Asia Pacific,Hong Kong,64 ms,Vietnam,VN,AS7552 Viettel Group
